"PUF_ID","sample","fpl","SWB_1","SWB_2","SWB_3","FWBscore","FSscore","KHscore"
10549,"General population","200%+ FPL","6","5","5","62","48",0.242
8518,"General population","<100% FPL","4","3","3","40","31",-0.909
11727,"General population","<100% FPL","4","3","4","33","35",-0.188
10911,"General population","200%+ FPL","5","7 Strongly agree","7 Strongly agree","45","42",0.242
8945,"General population","100%-199% FPL","4","3","7 Strongly agree","33","37",-1.215
11354,"General population","<100% FPL","5","7 Strongly agree","6","54","51",-0.57
12162,"General population","200%+ FPL","6","6","6","39","28",-0.909
7854,"General population","200%+ FPL","4","4","7 Strongly agree","56","50",0.242
11080,"General population","100%-199% FPL","6","7 Strongly agree","7 Strongly agree","38","43",-0.909
10757,"General population","200%+ FPL","6","6","5","77","57",0.712
10758,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","57","76",0.242
10128,"Age 62+ oversample","200%+ FPL","7 Strongly agree","7 Strongly agree","4","71","61",0.242
12639,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","Refused","76","70",1.267
14399,"General population","200%+ FPL","5","5","6","52","60",0.712
10352,"General population","100%-199% FPL","5","5","5","51","39",-1.215
12163,"General population","200%+ FPL","4","4","7 Strongly agree","30","61",-0.188
10353,"General population","200%+ FPL","4","5","5","60","40",0.242
12676,"Age 62+ oversample","100%-199% FPL","5","4","5","34","60",0.712
8305,"Age 62+ oversample","200%+ FPL","6","6","7 Strongly agree","76","55",0.242
9182,"General population","200%+ FPL","6","Refused","Refused","50","43",0.242
8946,"General population","200%+ FPL","5","6","6","47","43",0.712
14079,"General population","<100% FPL","4","5","6","37","27",-1.215
13243,"General population","200%+ FPL","6","6","5","71","64",0.712
9183,"General population","200%+ FPL","4","7 Strongly agree","7 Strongly agree","47","49",-0.909
12560,"General population","200%+ FPL","5","5","4","43","55",1.267
11222,"General population","200%+ FPL","5","6","5","50","41",-0.57
11081,"General population","200%+ FPL","6","6","6","59","53",0.242
8947,"General population","200%+ FPL","7 Strongly agree","6","6","61","56",-0.188
8306,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","6","69","64",0.712
9915,"General population","200%+ FPL","5","5","4","70","58",1.267
8712,"General population","200%+ FPL","6","4","4","42","45",-0.57
12710,"General population","200%+ FPL","7 Strongly agree","5","6","73","53",-0.188
10129,"General population","200%+ FPL","7 Strongly agree","6","6","62","55",0.712
11082,"General population","200%+ FPL","6","6","5","62","55",1.267
12298,"General population","200%+ FPL","5","6","7 Strongly agree","52","56",0.712
10759,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","63","61",0.712
9184,"General population","200%+ FPL","7 Strongly agree","3","6","50","51",-1.215
8713,"General population","200%+ FPL","6","4","4","56","49",-0.188
9434,"General population","200%+ FPL","6","2","4","50","43",-1.713
10912,"General population","200%+ FPL","6","6","5","59","44",-0.57
10130,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","5","50","41",0.712
8308,"General population","100%-199% FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","86","79",-0.909
10550,"Age 62+ oversample","200%+ FPL","6","5","4","50","37",-0.57
8714,"General population","200%+ FPL","6","6","6","56","44",0.242
7314,"General population","200%+ FPL","6","6","6","59","61",-0.57
14099,"Age 62+ oversample","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","81","64",1.267
7315,"General population","200%+ FPL","5","5","6","43","47",0.712
12751,"General population","200%+ FPL","4","4","5","31","55",-0.57
11499,"General population","200%+ FPL","5","5","6","52","48",0.242
8309,"Age 62+ oversample","200%+ FPL","3","4","2","49","37",0.712
8948,"General population","200%+ FPL","6","6","6","83","60",0.242
11223,"General population","200%+ FPL","7 Strongly agree","4","6","70","67",1.267
14078,"General population","200%+ FPL","6","6","6","72","57",0.712
10551,"General population","200%+ FPL","6","6","7 Strongly agree","55","55",0.242
7994,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","59","58",-0.188
8949,"Age 62+ oversample","200%+ FPL","6","6","5","67","51",0.712
7995,"General population","<100% FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","26","79",-1.713
10552,"Age 62+ oversample","200%+ FPL","6","6","7 Strongly agree","55","42",-0.57
11224,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","86","77",1.267
8519,"Age 62+ oversample","200%+ FPL","5","5","5","78","46",0.712
7225,"General population","200%+ FPL","3","5","6","66","59",0.242
9916,"General population","200%+ FPL","7 Strongly agree","6","6","62","46",0.712
11225,"General population","200%+ FPL","6","6","6","62","56",0.242
10131,"General population","200%+ FPL","6","5","4","47","42",0.242
9435,"Age 62+ oversample","200%+ FPL","7 Strongly agree","6","5","72","64",0.712
8715,"General population","200%+ FPL","6","6","6","50","41",0.242
11226,"Age 62+ oversample","100%-199% FPL","6","7 Strongly agree","6","77","57",0.712
13232,"Age 62+ oversample","200%+ FPL","6","6","4","67","62",0.712
11925,"General population","200%+ FPL","5","4","5","40","32",0.242
8310,"General population","200%+ FPL","6","5","5","61","48",-0.188
11831,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","59","59",-0.57
9436,"General population","200%+ FPL","1 Strongly disagree","3","5","16","39",0.242
12015,"General population","200%+ FPL","6","5","2","66","47",0.712
12780,"Age 62+ oversample","200%+ FPL","6","6","7 Strongly agree","57","44",0.712
8950,"General population","200%+ FPL","6","5","6","58","67",0.712
11227,"Age 62+ oversample","100%-199% FPL","7 Strongly agree","7 Strongly agree","6","64","82",0.712
9437,"General population","200%+ FPL","7 Strongly agree","6","6","63","52",0.712
10554,"General population","200%+ FPL","7 Strongly agree","Refused","Refused","55","49",0.242
10132,"General population","200%+ FPL","6","6","1 Strongly disagree","66","46",-1.215
11083,"General population","<100% FPL","3","4","3","38","40",-0.909
7380,"General population","200%+ FPL","6","6","5","70","56",1.267
8520,"General population","200%+ FPL","5","5","5","38","25",-0.57
12752,"General population","<100% FPL","5","6","7 Strongly agree","55","58",-1.485
10760,"General population","200%+ FPL","6","5","1 Strongly disagree","64","51",0.242
12235,"General population","200%+ FPL","5","6","5","55","49",-0.188
9438,"Age 62+ oversample","200%+ FPL","7 Strongly agree","6","6","70","57",-0.188
7316,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","62","70",-1.215
12354,"General population","200%+ FPL","5","5","5","52","44",0.712
12640,"Age 62+ oversample","200%+ FPL","7 Strongly agree","6","5","60","47",0.712
8716,"General population","200%+ FPL","6","7 Strongly agree","7 Strongly agree","53","66",1.267
12299,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","78","69",-0.57
8311,"General population","200%+ FPL","6","6","7 Strongly agree","70","69",1.267
13637,"General population","<100% FPL","6","5","6","41","41",-0.57
8951,"General population","100%-199% FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","59","70",-0.57
9185,"General population","100%-199% FPL","5","4","4","47","41",-0.909
13478,"General population","200%+ FPL","6","7 Strongly agree","7 Strongly agree","60","60",-0.188
9439,"General population","200%+ FPL","5","6","6","75","80",0.712
9917,"Age 62+ oversample","200%+ FPL","6","6","4","57","49",0.242
8717,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","4","60","52",-0.188
9186,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","6","62","58",1.267
10761,"General population","200%+ FPL","6","6","4","64","54",0.242
9689,"Age 62+ oversample","200%+ FPL","4","1 Strongly disagree","1 Strongly disagree","19","68",-0.188
9440,"General population","100%-199% FPL","4","7 Strongly agree","7 Strongly agree","68","66",-0.188
8952,"General population","200%+ FPL","3","5","6","48","39",-0.57
13656,"General population","200%+ FPL","5","5","4","59","56",-0.188
13367,"General population","200%+ FPL","5","5","6","49","42",-1.485
12935,"General population","200%+ FPL","3","2","4","44","33",0.712
7382,"General population","100%-199% FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","77","85",-1.9
12300,"Age 62+ oversample","200%+ FPL","7 Strongly agree","6","4","63","56",1.267
12753,"General population","200%+ FPL","5","6","6","52","58",1.267
11832,"General population","200%+ FPL","6","7 Strongly agree","4","79","67",0.242
13051,"General population","200%+ FPL","6","5","6","59","53",1.267
8312,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","79","82",1.267
14093,"Age 62+ oversample","200%+ FPL","6","6","6","54","50",0.712
8521,"General population","200%+ FPL","5","4","4","57","42",-0.909
13953,"General population","100%-199% FPL","5","5","6","47","45",-1.485
11926,"Age 62+ oversample","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","84","76",1.267
9918,"Age 62+ oversample","100%-199% FPL","3","2","1 Strongly disagree","26","38",0.242
13330,"General population","200%+ FPL","6","6","4","78","46",-0.188
9919,"General population","200%+ FPL","2","3","4","39","16",-0.909
8718,"General population","200%+ FPL","3","3","4","48","45",0.242
8522,"General population","200%+ FPL","6","6","6","59","63",-0.188
9441,"General population","200%+ FPL","6","6","6","49","49",0.242
9442,"General population","200%+ FPL","6","5","4","55","43",-0.188
7318,"General population","200%+ FPL","5","5","1 Strongly disagree","53","46",-0.188
13908,"General population","200%+ FPL","7 Strongly agree","4","4","52","41",0.242
7855,"General population","200%+ FPL","5","5","4","47","47",-0.188
11085,"Age 62+ oversample","200%+ FPL","7 Strongly agree","6","6","62","44",1.267
10555,"General population","200%+ FPL","6","6","6","59","49",0.242
12355,"General population","200%+ FPL","6","6","4","43","41",0.242
11833,"General population","200%+ FPL","5","6","1 Strongly disagree","56","79",-0.188
12016,"General population","100%-199% FPL","6","4","5","45","34",-0.188
8523,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","63","85",1.267
11228,"General population","200%+ FPL","3","4","3","44","42",-0.188
9690,"Age 62+ oversample","200%+ FPL","6","5","4","54","56",-0.57
13917,"General population","<100% FPL","3","5","7 Strongly agree","14","10",-1.215
9187,"Age 62+ oversample","100%-199% FPL","6","6","5","75","64",0.242
12419,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","30","29",-0.57
7856,"General population","200%+ FPL","5","4","6","70","60",0.712
11500,"General population","100%-199% FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","38","50",-0.909
8953,"General population","<100% FPL","5","6","6","42","49",-1.485
13146,"General population","200%+ FPL","6","6","5","51","43",0.242
12301,"General population","200%+ FPL","7 Strongly agree","6","6","69","62",1.267
13722,"General population","200%+ FPL","4","3","3","45","69",0.712
8313,"Age 62+ oversample","200%+ FPL","6","7 Strongly agree","7 Strongly agree","43","41",0.712
11086,"General population","<100% FPL","1 Strongly disagree","1 Strongly disagree","7 Strongly agree","38","30",-1.485
9920,"General population","200%+ FPL","6","5","4","63","49",1.267
11355,"General population","200%+ FPL","6","6","5","52","39",1.267
12302,"General population","200%+ FPL","4","4","5","55","43",0.712
8719,"General population","100%-199% FPL","5","6","4","29","43",-1.215
12869,"Age 62+ oversample","200%+ FPL","6","6","7 Strongly agree","58","59",0.242
9691,"General population","100%-199% FPL","4","3","2","43","40",0.242
14196,"General population","100%-199% FPL","5","5","5","49","42",-1.485
8314,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","60","69",-0.57
12164,"Age 62+ oversample","200%+ FPL","6","6","4","62","46",0.712
11728,"General population","100%-199% FPL","7 Strongly agree","7 Strongly agree","6","60","48",-0.909
12641,"General population","200%+ FPL","3","4","4","55","46",-1.215
10762,"General population","200%+ FPL","4","4","7 Strongly agree","54","56",-0.188
12519,"Age 62+ oversample","200%+ FPL","6","6","4","54","48",-0.188
10133,"General population","100%-199% FPL","5","6","7 Strongly agree","30","52",-0.188
12356,"General population","<100% FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","59","67",-1.485
8524,"General population","200%+ FPL","2","6","6","47","71",1.267
8720,"General population","<100% FPL","3","3","3","23","37",0.242
11087,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","6","54","57",-0.57
8525,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","6","86","85",1.267
7857,"General population","<100% FPL","2","4","4","40","31",0.242
13619,"General population","<100% FPL","7 Strongly agree","7 Strongly agree","6","62","58",-1.215
9692,"General population","100%-199% FPL","5","5","5","41","39",-0.188
9188,"Age 62+ oversample","200%+ FPL","5","5","6","49","38",-0.57
13643,"General population","200%+ FPL","7 Strongly agree","5","5","66","49",0.242
10134,"General population","200%+ FPL","6","6","6","67","85",-0.188
9189,"General population","200%+ FPL","7 Strongly agree","6","5","77","59",0.712
11088,"Age 62+ oversample","200%+ FPL","5","5","5","60","50",1.267
8954,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","65","65",0.242
8123,"General population","200%+ FPL","5","7 Strongly agree","5","37","43",-0.57
8315,"General population","200%+ FPL","6","5","5","62","52",0.242
10354,"General population","200%+ FPL","6","6","6","50","60",0.242
9190,"General population","200%+ FPL","6","6","6","46","73",-1.485
13674,"General population","200%+ FPL","5","5","7 Strongly agree","73","60",0.242
10135,"General population","200%+ FPL","2","4","4","43","78",-0.57
8721,"General population","200%+ FPL","5","5","5","51","35",-0.188
9921,"General population","200%+ FPL","4","5","6","45","31",-0.188
9922,"Age 62+ oversample","200%+ FPL","6","6","5","95","71",0.712
7858,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","86","85",-0.188
7996,"General population","<100% FPL","6","7 Strongly agree","7 Strongly agree","47","56",-1.215
13052,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","71","75",0.712
7859,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","49","65",0.712
12711,"General population","200%+ FPL","5","6","7 Strongly agree","65","58",0.242
9923,"General population","200%+ FPL","4","4","4","40","28",-0.57
8526,"General population","100%-199% FPL","6","6","4","54","38",-0.909
12852,"General population","200%+ FPL","6","5","4","61","45",-0.57
13172,"General population","200%+ FPL","6","6","7 Strongly agree","48","38",0.712
12420,"General population","200%+ FPL","5","5","5","62","46",0.712
11356,"General population","200%+ FPL","7 Strongly agree","6","7 Strongly agree","74","60",-0.57
11834,"General population","200%+ FPL","5","5","5","26","49",-0.57
10556,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","58","62",0.242
14390,"General population","200%+ FPL","6","7 Strongly agree","5","60","56",-0.188
12421,"General population","<100% FPL","5","6","6","57","50",-1.485
9191,"General population","200%+ FPL","5","4","5","34","61",0.712
14293,"General population","200%+ FPL","3","3","4","43","39",-1.713
9192,"General population","200%+ FPL","4","6","6","31","41",0.242
11357,"General population","200%+ FPL","6","7 Strongly agree","7 Strongly agree","61","59",1.267
8955,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","51","43",-0.909
10763,"Age 62+ oversample","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","65","43",0.242
9443,"General population","100%-199% FPL","6","7 Strongly agree","7 Strongly agree","62","47",0.712
7860,"General population","200%+ FPL","3","3","3","43","39",0.242
12357,"General population","200%+ FPL","3","4","4","46","60",-0.909
9193,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","56","44",0.712
10913,"General population","200%+ FPL","3","3","3","49","54",0.712
8722,"General population","200%+ FPL","6","6","6","60","47",-0.909
9693,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","49","57",0.242
11358,"General population","200%+ FPL","6","6","6","51","42",-0.909
8723,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","68","64",-0.188
12165,"General population","200%+ FPL","7 Strongly agree","4","4","33","38",-0.909
10557,"General population","200%+ FPL","6","6","6","58","62",0.242
8316,"General population","200%+ FPL","5","5","5","57","43",1.267
7319,"General population","100%-199% FPL","5","5","5","49","43",-0.909
10914,"General population","200%+ FPL","6","6","5","46","44",0.712
10558,"General population","200%+ FPL","5","6","6","49","42",-0.188
9194,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","6","72","56",-0.188
8724,"General population","200%+ FPL","5","7 Strongly agree","5","59","59",0.242
7998,"General population","200%+ FPL","6","6","7 Strongly agree","68","66",1.267
8124,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","63","71",1.267
10915,"Age 62+ oversample","200%+ FPL","7 Strongly agree","6","6","53","50",0.712
13104,"General population","200%+ FPL","2","3","2","65","71",0.712
9195,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","52","38",0.242
8527,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","78","85",0.242
9444,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","63","63",0.712
11501,"General population","100%-199% FPL","5","5","5","49","54",-0.188
8956,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","45","47",-0.57
10764,"General population","200%+ FPL","6","6","4","67","57",0.712
7385,"General population","200%+ FPL","5","6","6","70","76",-0.188
8528,"General population","200%+ FPL","3","4","4","31","28",0.242
14397,"General population","100%-199% FPL","3","3","3","51","60",0.712
8317,"General population","200%+ FPL","6","6","6","61","54",0.242
8125,"General population","200%+ FPL","5","5","6","60","55",0.242
8529,"General population","200%+ FPL","3","3","5","49","41",-0.188
12973,"General population","200%+ FPL","6","6","7 Strongly agree","74","56",-0.57
12017,"General population","100%-199% FPL","6","6","7 Strongly agree","61","49",0.242
14187,"General population","200%+ FPL","3","4","5","32","46",0.242
10765,"General population","100%-199% FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","45","34",-0.57
7386,"General population","200%+ FPL","4","4","5","58","45",-0.909
11835,"General population","200%+ FPL","5","6","6","46","48",0.712
12096,"General population","<100% FPL","5","5","4","38","51",-1.215
12475,"General population","<100% FPL","6","6","7 Strongly agree","60","73",-1.215
13405,"General population","200%+ FPL","5","4","5","44","42",-0.909
9196,"General population","<100% FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","51","48",-0.57
7999,"General population","200%+ FPL","5","5","6","50","53",0.712
13262,"General population","200%+ FPL","6","4","5","52","40",-0.57
7123,"General population","100%-199% FPL","Refused","3","3","39","Refused",-2.053
7166,"General population","200%+ FPL","6","1 Strongly disagree","7 Strongly agree","61","56",-2.053
8725,"General population","200%+ FPL","7 Strongly agree","6","5","86","56",0.712
11359,"General population","200%+ FPL","3","4","4","75","48",1.267
13747,"General population","200%+ FPL","6","6","5","66","45",0.712
13350,"General population","200%+ FPL","5","6","6","65","62",1.267
11089,"Age 62+ oversample","200%+ FPL","6","7 Strongly agree","7 Strongly agree","72","51",1.267
9445,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","3","67","47",-0.909
14379,"General population","200%+ FPL","5","6","7 Strongly agree","56","43",0.712
11502,"General population","200%+ FPL","6","7 Strongly agree","6","72","69",0.242
8000,"General population","200%+ FPL","2","3","7 Strongly agree","42","50",-0.188
8126,"General population","200%+ FPL","7 Strongly agree","4","7 Strongly agree","57","66",-1.713
12899,"General population","200%+ FPL","7 Strongly agree","6","6","71","55",-0.57
14126,"General population","200%+ FPL","4","5","7 Strongly agree","40","54",-0.57
13865,"General population","200%+ FPL","5","5","5","49","42",0.242
13600,"General population","200%+ FPL","6","7 Strongly agree","7 Strongly agree","62","51",1.267
13957,"General population","200%+ FPL","7 Strongly agree","6","4","78","75",1.267
13613,"Age 62+ oversample","200%+ FPL","6","6","6","85","55",0.712
13923,"Age 62+ oversample","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","62","55",-0.57
13844,"General population","200%+ FPL","3","3","1 Strongly disagree","23","52",-0.57
13878,"General population","200%+ FPL","6","6","6","69","57",1.267
13769,"General population","200%+ FPL","6","5","5","62","57",-0.188
14331,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","6","58","59",-0.909
13658,"General population","100%-199% FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","26","63",-1.9
13529,"General population","200%+ FPL","7 Strongly agree","6","6","63","46",0.242
14357,"General population","200%+ FPL","7 Strongly agree","6","5","57","52",-0.57
13973,"General population","100%-199% FPL","6","6","6","61","45",-0.188
14224,"General population","100%-199% FPL","1 Strongly disagree","7 Strongly agree","2","25","28",-1.215
13604,"General population","100%-199% FPL","2","5","5","48","40",-0.57
13882,"Age 62+ oversample","100%-199% FPL","4","4","1 Strongly disagree","54","29",-0.57
13615,"Age 62+ oversample","<100% FPL","7 Strongly agree","7 Strongly agree","5","51","32",-0.57
13593,"General population","200%+ FPL","4","7 Strongly agree","7 Strongly agree","42","39",-1.713
13480,"General population","200%+ FPL","5","5","6","58","49",0.242
14066,"General population","100%-199% FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","36","55",-1.215
13969,"Age 62+ oversample","200%+ FPL","7 Strongly agree","5","7 Strongly agree","68","74",0.242
13967,"General population","<100% FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","52","47",-1.485
13413,"General population","100%-199% FPL","6","7 Strongly agree","7 Strongly agree","51","29",-0.188
13868,"General population","<100% FPL","7 Strongly agree","7 Strongly agree","4","86","85",-0.188
13845,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","61","69",-0.57
13934,"General population","200%+ FPL","5","6","7 Strongly agree","72","64",1.267
13640,"General population","100%-199% FPL","3","7 Strongly agree","7 Strongly agree","41","42",-0.909
13585,"General population","200%+ FPL","6","7 Strongly agree","7 Strongly agree","61","56",0.712
13451,"General population","200%+ FPL","3","4","6","48","46",1.267
13840,"General population","200%+ FPL","6","6","6","66","82",1.267
14168,"General population","<100% FPL","4","5","7 Strongly agree","59","30",0.242
12974,"General population","200%+ FPL","5","4","4","52","47",1.267
14009,"General population","<100% FPL","4","5","6","43","40",-1.215
12936,"General population","200%+ FPL","6","7 Strongly agree","7 Strongly agree","74","56",-0.188
14031,"General population","200%+ FPL","6","5","5","51","42",0.712
13781,"General population","200%+ FPL","4","4","4","49","42",0.242
13870,"General population","200%+ FPL","6","6","5","65","39",-0.57
13021,"General population","200%+ FPL","2","2","4","45","43",-0.188
13926,"Age 62+ oversample","200%+ FPL","5","5","5","44","45",-0.188
13444,"General population","200%+ FPL","5","5","6","59","79",-0.188
13790,"General population","200%+ FPL","6","5","5","52","54",1.267
13573,"General population","<100% FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","65","58",-1.215
14242,"General population","200%+ FPL","5","5","5","59","49",1.267
13542,"General population","200%+ FPL","4","5","5","42","30",-0.909
13181,"General population","200%+ FPL","3","5","7 Strongly agree","58","59",0.242
13519,"General population","100%-199% FPL","5","7 Strongly agree","7 Strongly agree","61","58",0.242
13560,"Age 62+ oversample","200%+ FPL","6","7 Strongly agree","7 Strongly agree","64","58",0.712
14309,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","77","54",0.712
13833,"General population","100%-199% FPL","4","4","4","40","65",-1.215
13824,"General population","100%-199% FPL","5","5","7 Strongly agree","46","55",-0.188
13834,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","66","65",-0.188
14037,"General population","100%-199% FPL","6","6","6","52","53",-0.909
13512,"General population","200%+ FPL","6","6","6","86","71",1.267
13762,"General population","200%+ FPL","6","6","6","54","82",0.712
12305,"General population","200%+ FPL","5","6","6","58","46",-0.57
13187,"General population","200%+ FPL","5","1 Strongly disagree","7 Strongly agree","69","65",0.712
13428,"Age 62+ oversample","200%+ FPL","7 Strongly agree","7 Strongly agree","Refused","78","69",1.267
13437,"General population","200%+ FPL","5","4","7 Strongly agree","53","50",1.267
13842,"General population","200%+ FPL","3","4","5","44","47",1.267
13910,"General population","200%+ FPL","6","7 Strongly agree","7 Strongly agree","70","54",-0.188
13841,"General population","200%+ FPL","6","6","5","70","55",-1.215
13925,"General population","200%+ FPL","5","7 Strongly agree","7 Strongly agree","86","85",1.267
14029,"General population","200%+ FPL","5","4","6","42","34",-0.188
11503,"General population","<100% FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","70","85",-1.9
14321,"General population","200%+ FPL","6","4","7 Strongly agree","51","56",-0.188
13831,"General population","200%+ FPL","6","6","6","77","58",-0.188
13860,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","67","52",0.712
14125,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","39","56",-0.57
10916,"General population","100%-199% FPL","7 Strongly agree","4","7 Strongly agree","72","70",-0.909
13201,"General population","200%+ FPL","6","6","6","68","54",1.267
14049,"General population","200%+ FPL","6","6","6","72","78",0.712
14028,"General population","200%+ FPL","6","6","7 Strongly agree","74","85",-0.57
13504,"General population","200%+ FPL","6","5","5","55","67",0.242
13943,"General population","200%+ FPL","6","4","4","44","34",-0.909
11504,"General population","200%+ FPL","5","6","6","34","48",-0.57
13828,"General population","200%+ FPL","5","7 Strongly agree","7 Strongly agree","52","59",-0.188
13609,"General population","200%+ FPL","6","5","5","56","55",0.242
13283,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","61","82",-0.57
13695,"General population","<100% FPL","6","6","5","49","64",-1.215
13835,"General population","200%+ FPL","5","4","5","56","43",-0.909
14330,"General population","100%-199% FPL","5","5","4","57","42",-0.188
13099,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","61","56",-0.188
13188,"General population","200%+ FPL","5","5","5","49","42",0.712
13697,"General population","200%+ FPL","3","6","5","47","45",-0.909
14040,"General population","200%+ FPL","6","4","3","61","63",1.267
